event_id,timestamp,event_type,user_id,details,session_id
evt_20251210203235247702,2025-12-10T20:32:35.247721,app_start,current_user,{},current_session
evt_20251210203339877777,2025-12-10T20:33:39.877829,app_start,current_user,{},current_session
evt_20251210204029673776,2025-12-10T20:40:29.673797,app_start,current_user,{},current_session
evt_20251210204802478172,2025-12-10T20:48:02.478207,app_start,current_user,{},current_session
evt_20251210205409938775,2025-12-10T20:54:09.938795,app_start,current_user,{},current_session
evt_20251210210109952959,2025-12-10T21:01:09.952993,app_start,current_user,{},current_session
evt_20251210210109960265,2025-12-10T21:01:09.960288,app_start,current_user,{},current_session
evt_20251210210636875608,2025-12-10T21:06:36.875647,app_start,current_user,{},current_session
evt_20251210211225763946,2025-12-10T21:12:25.763967,app_start,current_user,{},current_session
evt_20251210212113051593,2025-12-10T21:21:13.051615,app_start,current_user,{},current_session
evt_20251210212646555628,2025-12-10T21:26:46.555654,app_start,current_user,{},current_session
evt_20251210214456101516,2025-12-10T21:44:56.101550,app_start,current_user,{},current_session
evt_20251210220201797473,2025-12-10T22:02:01.797516,app_start,current_user,{},current_session
evt_20251210220800327457,2025-12-10T22:08:00.327476,app_start,current_user,{},current_session
evt_20251211235315572415,2025-12-11T23:53:15.572465,app_start,current_user,{},current_session
evt_20251212002107214635,2025-12-12T00:21:07.214667,app_start,current_user,{},current_session
evt_20251223123826360639,2025-12-23T12:38:26.360656,app_start,current_user,{},current_session
evt_20251223133412146057,2025-12-23T13:34:12.146079,app_start,current_user,{},current_session
evt_20251223133535703399,2025-12-23T13:35:35.703419,app_start,current_user,{},current_session
evt_20251223133551442206,2025-12-23T13:35:51.442223,app_start,current_user,{},current_session
evt_20251223134506797011,2025-12-23T13:45:06.797037,app_start,current_user,{},current_session
evt_20251223134832919533,2025-12-23T13:48:32.919550,app_start,current_user,{},current_session
evt_20251223135553204321,2025-12-23T13:55:53.204337,app_start,current_user,{},current_session
evt_20251223140109633971,2025-12-23T14:01:09.633993,app_start,current_user,{},current_session
evt_20251223140354378185,2025-12-23T14:03:54.378203,app_start,current_user,{},current_session
evt_20251223141330459184,2025-12-23T14:13:30.459206,app_start,current_user,{},current_session
evt_20251223141844437656,2025-12-23T14:18:44.437673,app_start,current_user,{},current_session
evt_20251223142255290502,2025-12-23T14:22:55.290525,app_start,current_user,{},current_session
evt_20251223143002926519,2025-12-23T14:30:02.926538,app_start,current_user,{},current_session
evt_20251223145307250157,2025-12-23T14:53:07.250174,app_start,current_user,{},current_session
evt_20251223150435023623,2025-12-23T15:04:35.023640,app_start,current_user,{},current_session
evt_20251223151328390992,2025-12-23T15:13:28.391015,app_start,current_user,{},current_session
evt_20251223151743814842,2025-12-23T15:17:43.814864,app_start,current_user,{},current_session
evt_20251223152843971817,2025-12-23T15:28:43.971835,app_start,current_user,{},current_session
evt_20251223153352021805,2025-12-23T15:33:52.021823,app_start,current_user,{},current_session
evt_20251223153811940642,2025-12-23T15:38:11.940661,app_start,current_user,{},current_session
evt_20251223154705912240,2025-12-23T15:47:05.912259,app_start,current_user,{},current_session
evt_20251223155110569423,2025-12-23T15:51:10.569441,app_start,current_user,{},current_session
evt_20251223160021496940,2025-12-23T16:00:21.496965,app_start,current_user,{},current_session
evt_20251223161038957487,2025-12-23T16:10:38.957507,app_start,current_user,{},current_session
evt_20251223164638678821,2025-12-23T16:46:38.678842,app_start,current_user,{},current_session
evt_20251223165422560796,2025-12-23T16:54:22.560813,app_start,current_user,{},current_session
evt_20251223165831468527,2025-12-23T16:58:31.468545,app_start,current_user,{},current_session
evt_20251223180147434895,2025-12-23T18:01:47.434915,app_start,current_user,{},current_session
evt_20251223181848128540,2025-12-23T18:18:48.128559,app_start,current_user,{},current_session
evt_20251223181921687095,2025-12-23T18:19:21.687116,app_start,current_user,{},current_session
evt_20251223185449331180,2025-12-23T18:54:49.331205,app_start,current_user,{},current_session
evt_20251223205537989860,2025-12-23T20:55:37.989885,app_start,current_user,{},current_session
evt_20251223205633635900,2025-12-23T20:56:33.635920,app_start,current_user,{},current_session
evt_20251223205702957661,2025-12-23T20:57:02.957710,app_start,current_user,{},current_session
evt_20251223205840880381,2025-12-23T20:58:40.880402,app_start,current_user,{},current_session
evt_20251223211825392401,2025-12-23T21:18:25.392429,app_start,current_user,{},current_session
evt_20251224001840816295,2025-12-24T00:18:40.816316,app_start,current_user,{},current_session
evt_20251224002132144999,2025-12-24T00:21:32.145018,app_start,current_user,{},current_session
evt_20251224002146862537,2025-12-24T00:21:46.862556,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20251224002820974287,2025-12-24T00:28:20.974309,app_start,current_user,{},current_session
evt_20251224002834660206,2025-12-24T00:28:34.660226,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20251224004128198769,2025-12-24T00:41:28.198790,app_start,current_user,{},current_session
evt_20251224004144256397,2025-12-24T00:41:44.256417,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
